Start,End,Duration_Days,Peak_Prob,Event
1994-05-13,1994-05-26,10,1.0,
1994-08-05,1994-08-17,9,1.0,
1994-10-11,1994-10-24,10,1.0,
1995-09-06,1995-09-12,5,0.9936,
1995-09-18,1995-09-28,9,1.0,
1997-05-28,1997-06-13,13,1.0,
1997-12-15,1997-12-19,5,1.0,
1998-01-05,1998-01-09,5,0.9997,
1999-10-11,1999-10-26,12,1.0,
1999-11-29,1999-12-06,6,1.0,
2000-07-10,2000-07-24,11,1.0,
2002-04-25,2002-05-01,5,0.9966,
2002-10-15,2002-10-23,7,1.0,
2002-10-25,2002-11-04,7,1.0,
2003-05-28,2003-06-03,5,1.0,
2019-12-13,2019-12-24,8,0.9997,
2021-07-20,2021-08-02,10,1.0,
