Start,End,Duration_Days,Peak_Prob,Event
1986-07-23,1986-08-04,9,1.0,
1986-08-25,1986-09-11,12,0.9989,
1986-09-17,1986-11-04,33,1.0,
1987-02-11,1987-02-20,6,0.9944,
1987-06-16,1987-07-08,16,0.9997,
1987-07-29,1987-08-04,5,0.9675,
1988-06-02,1988-08-08,46,1.0,
1991-07-15,1991-07-22,6,0.9851,
1996-05-30,1996-06-06,6,0.9973,
1996-07-16,1996-07-25,8,1.0,
1996-08-05,1996-08-09,5,0.9694,
1996-08-20,1996-09-13,17,1.0,
1997-07-14,1997-07-22,7,0.9999,
1997-07-28,1997-08-13,13,0.9989,
1998-06-29,1998-07-14,10,0.9998,
1999-07-01,1999-08-17,32,1.0,
1999-10-08,1999-10-18,7,0.9997,
2000-06-07,2000-06-20,10,1.0,
2001-07-11,2001-07-24,10,0.9999,
2002-07-01,2002-07-31,20,0.9999,
2002-09-11,2002-09-30,14,1.0,
2003-09-04,2003-09-12,7,1.0,
2003-10-22,2003-11-04,10,1.0,
2004-06-04,2004-07-02,19,1.0,
2005-07-11,2005-07-25,11,0.9988,
2006-07-07,2006-07-21,11,0.9999,
2006-09-27,2006-10-13,13,1.0,
2007-03-05,2007-03-12,6,0.9532,
2007-03-26,2007-05-11,33,1.0,
2007-05-24,2007-06-11,11,0.9999,
2007-06-15,2007-07-19,23,1.0,
2007-08-01,2007-09-14,31,1.0,
2007-09-26,2007-10-02,5,0.9716,
2007-10-10,2007-10-19,8,0.9999,
2008-02-26,2008-03-12,11,0.9989,
2008-03-28,2008-04-07,7,1.0,
2008-04-28,2008-05-16,14,0.9998,
2008-06-02,2008-07-22,33,0.9989,
2008-07-29,2008-08-19,16,1.0,
2008-09-12,2009-02-09,98,1.0,
2009-03-04,2009-03-17,10,0.9988,
2009-03-27,2009-04-30,23,0.9998,
2009-06-30,2009-07-24,17,1.0,
2009-09-04,2009-09-24,13,1.0,
2009-10-12,2009-11-09,20,0.9949,
2009-11-23,2009-12-11,13,0.9711,
2010-07-20,2010-08-05,13,0.9939,
2010-09-27,2010-10-22,20,1.0,
2010-11-03,2010-11-17,11,0.9997,
2010-11-19,2010-12-03,9,1.0,
2011-03-11,2011-03-18,6,0.9799,
2011-04-20,2011-07-18,58,1.0,
2011-09-01,2011-09-30,20,0.9985,
2012-04-17,2012-05-24,28,0.9998,
2012-06-06,2012-07-12,25,0.9999,
2013-04-29,2013-05-13,11,0.9976,
2013-08-15,2013-09-13,20,1.0,
2015-01-07,2015-01-13,5,0.9873,
2016-06-20,2016-07-13,16,0.9996,
2019-06-28,2019-07-12,8,0.9998,
2020-06-29,2020-07-10,8,0.9766,
2021-05-14,2021-06-02,12,1.0,
2021-06-25,2021-07-23,19,0.9988,
2022-06-24,2022-07-25,20,1.0,
2023-05-15,2023-07-26,25,1.0,
2024-06-25,2024-07-15,13,0.999,
2025-02-25,2025-03-17,15,0.998,
