Start,End,Duration_Days,Peak_Prob,Event
1986-07-09,1986-08-25,34,1.0,
1993-02-05,1994-02-17,251,1.0,
1994-03-24,1994-10-21,143,1.0,
1995-06-07,1995-12-08,126,1.0,
1996-01-24,1996-02-01,7,0.9539,
1996-08-29,1996-11-14,54,0.99,
1998-05-28,1998-06-16,14,0.9763,
2001-01-12,2001-07-17,123,1.0,
2001-09-07,2002-04-15,139,1.0,
2003-01-17,2003-02-11,16,0.9973,
2003-06-18,2004-02-18,159,0.9999,
2005-08-26,2005-09-30,24,0.9991,
2007-10-29,2007-11-02,5,0.9575,
2008-02-07,2008-05-02,56,0.9999,
2008-10-20,2009-12-02,270,1.0,
2010-01-11,2010-11-03,200,1.0,
2010-12-08,2011-01-13,25,0.9981,
2011-04-05,2011-07-08,62,1.0,
2011-08-01,2011-10-14,48,1.0,
2011-11-11,2012-02-06,54,0.9999,
2013-05-29,2013-06-07,8,0.9993,
2015-04-15,2015-06-04,35,0.9681,
2015-09-09,2015-10-08,22,0.9786,
2018-07-26,2019-08-09,249,1.0,
2020-03-16,2022-12-19,671,1.0,
2023-01-23,2023-05-10,70,1.0,
2023-11-06,2023-11-17,8,0.9999,
2024-07-12,2024-08-02,16,1.0,
2024-08-06,2024-08-12,5,0.9213,
2025-08-25,2025-09-15,10,1.0,
