Start,End,Duration_Days,Peak_Prob,Event
1986-07-09,1986-07-21,9,1.0,
1986-08-12,1986-08-26,11,0.9338,
1986-09-22,1986-10-31,28,1.0,
1988-01-13,1988-02-02,15,0.9983,
1988-06-17,1988-08-03,32,1.0,
1988-08-15,1988-08-24,8,0.93,
1988-09-22,1988-10-26,25,1.0,
1990-07-05,1990-07-23,13,0.9805,
1991-07-25,1991-08-14,15,1.0,
1991-10-10,1991-10-16,5,1.0,
1993-06-17,1993-06-30,10,0.9818,
1994-12-20,1995-01-09,11,1.0,
1995-05-18,1995-05-26,7,0.9727,
1995-06-06,1995-06-13,6,0.9339,
1995-06-29,1995-07-07,5,0.9942,
1999-02-18,1999-03-10,15,0.9996,
1999-04-07,1999-04-21,11,0.9877,
1999-07-28,1999-08-12,12,0.9884,
2001-02-01,2001-03-07,23,0.9971,
2001-06-28,2001-08-29,43,1.0,
2001-11-20,2001-12-03,7,0.9619,
2002-01-25,2002-04-08,48,0.9999,
2003-06-23,2003-06-30,6,0.9997,
2003-09-11,2003-10-14,24,0.9995,
2004-03-09,2004-03-17,7,0.996,
2004-03-30,2004-06-22,55,0.9988,
2004-08-09,2004-08-17,7,0.998,
2008-03-03,2008-05-29,58,1.0,
2008-09-16,2008-11-11,40,1.0,
2008-12-19,2009-01-23,20,0.9999,
2009-07-29,2009-08-13,12,0.9998,
2014-09-25,2014-10-08,10,0.9851,
2020-09-29,2020-10-15,13,0.9613,
2021-03-22,2021-07-23,84,1.0,
2022-03-02,2022-09-30,143,1.0,
2022-11-22,2023-01-04,26,1.0,
2023-03-03,2023-03-23,15,0.9993,
2023-05-12,2023-08-07,34,1.0,
2023-09-21,2023-12-11,43,0.9997,
2024-03-14,2024-03-25,8,0.966,
2024-04-29,2024-05-21,17,1.0,
2024-06-25,2024-10-07,71,0.9998,
2024-10-11,2024-12-20,42,0.9999,
2025-03-27,2025-04-03,6,1.0,
2025-04-11,2025-05-21,27,0.9987,
