Start,End,Duration_Days,Peak_Prob,Event
1986-08-29,1986-09-09,6,0.9996,
1988-06-21,1988-08-01,28,1.0,
1988-10-06,1988-10-13,6,0.9427,
1991-07-26,1991-08-05,7,1.0,
1997-04-04,1997-04-11,6,0.9978,
1997-06-02,1997-06-09,6,0.9801,
1997-06-30,1997-07-09,6,1.0,
1997-08-28,1997-09-05,5,1.0,
1999-07-21,1999-08-05,12,0.9999,
2001-07-16,2001-07-20,5,0.9637,
2003-11-04,2003-11-11,6,0.9961,
2004-02-05,2004-02-13,7,0.9991,
2004-03-09,2004-03-17,7,1.0,
2004-03-31,2004-04-15,10,0.9999,
2004-05-07,2004-06-21,28,1.0,
2004-07-01,2004-08-27,40,1.0,
2004-11-10,2004-11-22,9,1.0,
2005-06-27,2005-07-11,9,1.0,
2005-08-15,2005-08-19,5,0.9963,
2006-07-19,2006-07-26,6,1.0,
2007-07-16,2007-07-23,6,1.0,
2008-04-09,2008-05-20,29,1.0,
2008-05-22,2008-06-06,10,0.9852,
2008-07-16,2008-08-07,17,1.0,
2008-09-03,2008-09-10,6,0.9971,
2008-10-08,2008-11-17,28,1.0,
2009-04-23,2009-04-29,5,0.9914,
2009-07-07,2009-07-14,6,1.0,
2009-08-10,2009-09-16,26,1.0,
2010-11-09,2010-11-15,5,0.992,
2011-01-05,2011-01-12,6,1.0,
2012-07-23,2012-08-09,14,0.9999,
2012-09-14,2012-09-20,5,0.9848,
2013-08-19,2013-08-26,6,0.9994,
2014-08-27,2014-10-14,33,1.0,
2016-06-30,2016-07-25,16,1.0,
2022-07-22,2022-09-15,38,1.0,
2023-06-29,2023-07-10,6,1.0,
2023-08-07,2023-08-15,7,1.0,
