Start,End,Duration_Days,Peak_Prob,Event
1988-06-20,1988-07-18,19,1.0,
1995-06-21,1995-07-17,17,0.998,
1996-04-26,1996-05-02,5,0.9988,
2001-10-03,2001-10-10,6,0.9873,
2002-08-26,2002-09-11,11,0.9982,
2002-09-13,2002-09-25,9,0.9899,
2003-05-09,2003-05-19,7,0.9932,
2003-07-08,2003-08-04,20,1.0,
2003-10-02,2003-10-08,5,0.9905,
2004-07-01,2004-07-15,9,1.0,
2005-08-26,2005-10-12,32,1.0,
2006-05-23,2006-06-13,14,1.0,
2006-09-27,2006-10-17,15,1.0,
2007-04-12,2007-04-20,7,0.9984,
2007-06-26,2007-07-24,19,1.0,
2007-08-29,2007-09-19,14,1.0,
2007-10-01,2007-10-16,12,0.9994,
2008-01-18,2008-01-29,6,0.9948,
2008-02-05,2008-04-09,42,1.0,
2008-04-16,2008-05-28,28,1.0,
2008-05-30,2008-06-13,11,1.0,
2008-06-27,2008-12-29,122,1.0,
2009-01-07,2009-01-21,9,0.9999,
2009-02-26,2009-03-05,6,0.9594,
2009-03-10,2009-04-08,22,0.9999,
2009-06-30,2009-07-14,9,0.9997,
2009-08-05,2009-11-30,79,1.0,
2009-12-17,2010-01-06,10,1.0,
2010-05-03,2010-05-26,18,1.0,
2010-07-02,2010-07-16,9,0.9972,
2010-08-03,2010-08-26,18,1.0,
2010-10-27,2010-11-17,16,0.9958,
2011-04-26,2011-05-09,10,0.9995,
2011-06-22,2011-07-21,20,1.0,
2014-07-18,2014-07-30,9,0.9956,
2014-09-18,2014-09-30,9,1.0,
2018-08-20,2018-08-29,8,0.9805,
2022-02-24,2022-03-18,17,1.0,
2022-05-13,2022-06-08,17,0.9988,
2022-06-16,2022-06-28,7,1.0,
2022-09-07,2022-09-13,5,0.999,
2023-05-09,2023-06-21,6,0.9719,
2024-03-01,2024-03-11,7,1.0,
