Commodity,Start,End,Duration_Days,Peak_Prob,Event_ID,Event_Name,Category,Strength
Coffee,1994-05-13,1994-05-26,10,1.0,6,1994 Brazil coffee double frost,Weather,strong
Coffee,1994-08-05,1994-08-17,9,1.0,6,1994 Brazil coffee double frost,Weather,strong
Coffee,1994-10-11,1994-10-24,10,1.0,6,1994 Brazil coffee double frost,Weather,strong
Coffee,1995-09-06,1995-09-12,5,0.9936,8,1995 coffee frost aftermath,Weather,strong
Coffee,1995-09-18,1995-09-28,9,1.0,8,1995 coffee frost aftermath,Weather,strong
Coffee,1997-05-28,1997-06-13,13,1.0,11,1997 Brazilian frost scare,Weather,strong
Coffee,1997-12-15,1997-12-19,5,1.0,12,1997–98 El Niño,Weather,probable
Coffee,1998-01-05,1998-01-09,5,0.9997,12,1997–98 El Niño,Weather,probable
Coffee,1999-10-11,1999-10-26,12,1.0,17,1999 Brazilian drought coffee rally,Weather,strong
Coffee,1999-11-29,1999-12-06,6,1.0,17,1999 Brazilian drought coffee rally,Weather,strong
Coffee,2000-07-10,2000-07-24,11,1.0,19,2000 Brazilian coffee frost scare,Weather,probable
Coffee,2002-04-25,2002-05-01,5,0.9966,25,2001–04 Coffee Price Crisis,Supply/Demand,strong
Coffee,2002-10-15,2002-10-23,7,1.0,25,2001–04 Coffee Price Crisis,Supply/Demand,strong
Coffee,2002-10-25,2002-11-04,7,1.0,25,2001–04 Coffee Price Crisis,Supply/Demand,strong
Coffee,2003-05-28,2003-06-03,5,1.0,25,2001–04 Coffee Price Crisis,Supply/Demand,strong
Coffee,2019-12-13,2019-12-24,8,0.9997,57,2019 coffee dry-weather rally,Weather,strong
Coffee,2021-07-20,2021-08-02,10,1.0,62,2021 Brazil historic coffee frost,Weather,strong
Corn,1986-07-23,1986-08-04,9,1.0,1,1986–87 early-era weather and policy volatility,Weather,probable
Corn,1986-08-25,1986-09-11,12,0.9989,1,1986–87 early-era weather and policy volatility,Weather,probable
Corn,1986-09-17,1986-11-04,33,1.0,1,1986–87 early-era weather and policy volatility,Weather,probable
Corn,1987-02-11,1987-02-20,6,0.9944,1,1986–87 early-era weather and policy volatility,Weather,probable
Corn,1987-06-16,1987-07-08,16,0.9997,1,1986–87 early-era weather and policy volatility,Weather,probable
Corn,1987-07-29,1987-08-04,5,0.9675,1,1986–87 early-era weather and policy volatility,Weather,probable
Corn,1988-06-02,1988-08-08,46,1.0,2,1988 North American drought,Weather,strong
Corn,1991-07-15,1991-07-22,6,0.9851,3,Summer 1991 weather,Weather,probable
Corn,1996-05-30,1996-06-06,6,0.9973,10,1996 tight corn stocks rally,Supply/Demand,strong
Corn,1996-07-16,1996-07-25,8,1.0,10,1996 tight corn stocks rally,Supply/Demand,strong
Corn,1996-08-05,1996-08-09,5,0.9694,10,1996 tight corn stocks rally,Supply/Demand,strong
Corn,1996-08-20,1996-09-13,17,1.0,10,1996 tight corn stocks rally,Supply/Demand,strong
Corn,1997-07-14,1997-07-22,7,0.9999,13,1997 growing-season weather,Weather,probable
Corn,1997-07-28,1997-08-13,13,0.9989,13,1997 growing-season weather,Weather,probable
Corn,1998-06-29,1998-07-14,10,0.9998,14,Summer 1998 weather,Weather,strong
Corn,1999-07-01,1999-08-17,32,1.0,16,1999 Eastern Corn Belt drought,Weather,probable
Corn,1999-10-08,1999-10-18,7,0.9997,16,1999 Eastern Corn Belt drought,Weather,probable
Corn,2000-06-07,2000-06-20,10,1.0,20,Summer 2000–2001 weather,Weather,probable
Corn,2001-07-11,2001-07-24,10,0.9999,20,Summer 2000–2001 weather,Weather,probable
Corn,2002-07-01,2002-07-31,20,0.9999,27,2002 US drought,Weather,strong
Corn,2002-09-11,2002-09-30,14,1.0,27,2002 US drought,Weather,strong
Corn,2003-09-04,2003-09-12,7,1.0,28,2003 harvest weather and global wheat supply,Weather,probable
Corn,2003-10-22,2003-11-04,10,1.0,28,2003 harvest weather and global wheat supply,Weather,probable
Corn,2004-06-04,2004-07-02,19,1.0,31,Summer 2004 pollination weather (corn),Weather,probable
Corn,2005-07-11,2005-07-25,11,0.9988,34,Summer 2005–2006 US grain weather,Weather,probable
Corn,2006-07-07,2006-07-21,11,0.9999,34,Summer 2005–2006 US grain weather,Weather,probable
Corn,2006-09-27,2006-10-13,13,1.0,36,2006 ethanol boom precursor,Policy/Regulation,strong
Corn,2007-03-05,2007-03-12,6,0.9532,38,2007 US ethanol mandate surge (RFS2),Policy/Regulation,strong
Corn,2007-03-26,2007-05-11,33,1.0,38,2007 US ethanol mandate surge (RFS2),Policy/Regulation,strong
Corn,2007-05-24,2007-06-11,11,0.9999,38,2007 US ethanol mandate surge (RFS2),Policy/Regulation,strong
Corn,2007-06-15,2007-07-19,23,1.0,38,2007 US ethanol mandate surge (RFS2),Policy/Regulation,strong
Corn,2007-08-01,2007-09-14,31,1.0,38,2007 US ethanol mandate surge (RFS2),Policy/Regulation,strong
Corn,2007-09-26,2007-10-02,5,0.9716,38,2007 US ethanol mandate surge (RFS2),Policy/Regulation,strong
Corn,2007-10-10,2007-10-19,8,0.9999,38,2007 US ethanol mandate surge (RFS2),Policy/Regulation,strong
Corn,2008-02-26,2008-03-12,11,0.9989,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Corn,2008-03-28,2008-04-07,7,1.0,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Corn,2008-04-28,2008-05-16,14,0.9998,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
Corn,2008-06-02,2008-07-22,33,0.9989,40,2007–08 Global Food Price Crisis,Supply/Demand,strong
