Date,Corn_IVol,Corn_TotalVol,Soybean_IVol,Soybean_TotalVol,Wheat_IVol,Wheat_TotalVol,Cotton_IVol,Cotton_TotalVol,Coffee_IVol,Coffee_TotalVol,Oats_IVol,Oats_TotalVol,Sugar_IVol,Sugar_TotalVol,Soybean_Oil_IVol,Soybean_Oil_TotalVol,Lumber_IVol,Lumber_TotalVol
1986-01-03,,,,,,,,,,,,,,,,,,
1986-01-06,,,,,,,,,,,,,,,,,,
1986-01-07,,,,,,,,,,,,,,,,,,
1986-01-08,,,,,,,,,,,,,,,,,,
1986-01-09,,,,,,,,,,,,,,,,,,
1986-01-10,,,,,,,,,,,,,,,,,,
1986-01-13,,,,,,,,,,,,,,,,,,
1986-01-14,,,,,,,,,,,,,,,,,,
1986-01-15,,,,,,,,,,,,,,,,,,
1986-01-16,,,,,,,,,,,,,,,,,,
1986-01-17,,,,,,,,,,,,,,,,,,
1986-01-20,,,,,,,,,,,,,,,,,,
1986-01-21,,,,,,,,,,,,,,,,,,
1986-01-22,,,,,,,,,,,,,,,,,,
1986-01-23,,,,,,,,,,,,,,,,,,
1986-01-24,,,,,,,,,,,,,,,,,,
1986-01-27,,,,,,,,,,,,,,,,,,
1986-01-28,,,,,,,,,,,,,,,,,,
1986-01-29,,,,,,,,,,,,,,,,,,
1986-01-30,,,,,,,,,,,,,,,,,,
1986-01-31,,,,,,,,,,,,,,,,,,
1986-02-03,,,,,,,,,,,,,,,,,,
1986-02-04,,,,,,,,,,,,,,,,,,
1986-02-05,,,,,,,,,,,,,,,,,,
1986-02-06,,,,,,,,,,,,,,,,,,
1986-02-07,,,,,,,,,,,,,,,,,,
1986-02-10,,,,,,,,,,,,,,,,,,
1986-02-11,,,,,,,,,,,,,,,,,,
1986-02-12,,,,,,,,,,,,,,,,,,
1986-02-13,,,,,,,,,,,,,,,,,,
1986-02-14,,,,,,,,,,,,,,,,,,
1986-02-19,,,,,,,,,,,,,,,,,,
1986-02-20,,,,,,,,,,,,,,,,,,
1986-02-21,,,,,,,,,,,,,,,,,,
1986-02-24,,,,,,,,,,,,,,,,,,
1986-02-25,,,,,,,,,,,,,,,,,,
1986-02-26,,,,,,,,,,,,,,,,,,
1986-02-27,,,,,,,,,,,,,,,,,,
1986-02-28,,,,,,,,,,,,,,,,,,
1986-03-03,,,,,,,,,,,,,,,,,,
1986-03-04,,,,,,,,,,,,,,,,,,
1986-03-05,,,,,,,,,,,,,,,,,,
1986-03-06,,,,,,,,,,,,,,,,,,
1986-03-07,,,,,,,,,,,,,,,,,,
1986-03-10,,,,,,,,,,,,,,,,,,
1986-03-11,,,,,,,,,,,,,,,,,,
1986-03-12,,,,,,,,,,,,,,,,,,
1986-03-13,,,,,,,,,,,,,,,,,,
1986-03-14,,,,,,,,,,,,,,,,,,
1986-03-17,,,,,,,,,,,,,,,,,,
1986-03-18,,,,,,,,,,,,,,,,,,
1986-03-19,,,,,,,,,,,,,,,,,,
1986-03-20,,,,,,,,,,,,,,,,,,
1986-03-21,,,,,,,,,,,,,,,,,,
1986-03-24,,,,,,,,,,,,,,,,,,
1986-03-25,,,,,,,,,,,,,,,,,,
1986-03-26,,,,,,,,,,,,,,,,,,
1986-03-27,,,,,,,,,,,,,,,,,,
1986-04-01,,,,,,,,,,,,,,,,,,
1986-04-02,,,,,,,,,,,,,,,,,,
1986-04-03,,,,,,,,,,,,,,,,,,
1986-04-04,,,,,,,,,,,,,,,,,,
1986-04-07,,,,,,,,,,,,,,,,,,
1986-04-08,,,,,,,,,,,,,,,,,,
1986-04-09,,,,,,,,,,,,,,,,,,
1986-04-10,,,,,,,,,,,,,,,,,,
1986-04-11,,,,,,,,,,,,,,,,,,
1986-04-14,,,,,,,,,,,,,,,,,,
1986-04-15,,,,,,,,,,,,,,,,,,
1986-04-16,,,,,,,,,,,,,,,,,,
1986-04-17,,,,,,,,,,,,,,,,,,
1986-04-18,,,,,,,,,,,,,,,,,,
1986-04-21,,,,,,,,,,,,,,,,,,
1986-04-22,,,,,,,,,,,,,,,,,,
1986-04-23,,,,,,,,,,,,,,,,,,
1986-04-24,,,,,,,,,,,,,,,,,,
1986-04-25,,,,,,,,,,,,,,,,,,
1986-04-28,,,,,,,,,,,,,,,,,,
1986-04-29,,,,,,,,,,,,,,,,,,
1986-04-30,,,,,,,,,,,,,,,,,,
1986-05-01,,,,,,,,,,,,,,,,,,
1986-05-02,,,,,,,,,,,,,,,,,,
1986-05-05,,,,,,,,,,,,,,,,,,
1986-05-06,,,,,,,,,,,,,,,,,,
1986-05-07,,,,,,,,,,,,,,,,,,
1986-05-08,,,,,,,,,,,,,,,,,,
1986-05-09,,,,,,,,,,,,,,,,,,
1986-05-12,,,,,,,,,,,,,,,,,,
1986-05-13,,,,,,,,,,,,,,,,,,
1986-05-14,,,,,,,,,,,,,,,,,,
1986-05-15,,,,,,,,,,,,,,,,,,
1986-05-16,,,,,,,,,,,,,,,,,,
1986-05-19,,,,,,,,,,,,,,,,,,
1986-05-20,,,,,,,,,,,,,,,,,,
1986-05-21,,,,,,,,,,,,,,,,,,
1986-05-22,,,,,,,,,,,,,,,,,,
1986-05-23,,,,,,,,,,,,,,,,,,
1986-05-28,,,,,,,,,,,,,,,,,,
1986-05-29,,,,,,,,,,,,,,,,,,
1986-05-30,,,,,,,,,,,,,,,,,,
1986-06-02,,,,,,,,,,,,,,,,,,
1986-06-03,,,,,,,,,,,,,,,,,,
1986-06-04,,,,,,,,,,,,,,,,,,
1986-06-05,,,,,,,,,,,,,,,,,,
1986-06-06,,,,,,,,,,,,,,,,,,
1986-06-09,,,,,,,,,,,,,,,,,,
1986-06-10,,,,,,,,,,,,,,,,,,
1986-06-11,,,,,,,,,,,,,,,,,,
1986-06-12,,,,,,,,,,,,,,,,,,
1986-06-13,,,,,,,,,,,,,,,,,,
1986-06-16,,,,,,,,,,,,,,,,,,
1986-06-17,,,,,,,,,,,,,,,,,,
1986-06-18,,,,,,,,,,,,,,,,,,
1986-06-19,,,,,,,,,,,,,,,,,,
1986-06-20,,,,,,,,,,,,,,,,,,
1986-06-23,,,,,,,,,,,,,,,,,,
1986-06-24,,,,,,,,,,,,,,,,,,
1986-06-25,,,,,,,,,,,,,,,,,,
1986-06-26,,,,,,,,,,,,,,,,,,
1986-06-27,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,,,
1986-07-01,,,,,,,,,,,,,,,,,,
1986-07-02,,,,,,,,,,,,,,,,,,
1986-07-03,,,,,,,,,,,,,,,,,,
1986-07-08,,,,,,,,,,,,,,,,,,
1986-07-09,,0.012709492714288272,,0.008098577764815826,,0.02538822161935724,,0.0027239740476746226,,0.015909408408701108,,0.015348279813497918,,0.03205598680841442,,0.018182852224374733,,0.0186147565011118
1986-07-10,,0.012734450381087867,,0.008076114028537603,,0.025362636748090406,,0.0027239740476746226,,0.015283463666452005,,0.015385565634207095,,0.03205212143990272,,0.018206443152063476,,0.01861514228410092
1986-07-11,,0.012769028109088405,,0.00805424315105206,,0.025390953691608938,,0.0027239740476746226,,0.014680976426454764,,0.015378767918427726,,0.0323740283136474,,0.018066943070048386,,0.018588813478350757
1986-07-14,,0.012778914556330297,,0.007984827341962614,,0.025390713453804677,,0.0027239740476746226,,0.009019462190169103,,0.015382446595006071,,0.03209302944876632,,0.018087251977136464,,0.01860900687960338
1986-07-15,,0.01296076323556969,,0.008058078712857847,,0.02543202707036223,,0.0027239740476746226,,0.009377161700708556,,0.015382446595006071,,0.03200829364595538,,0.018119980812017204,,0.018627927937335215
1986-07-16,,0.012964668390517686,,0.008188481862062974,,0.02550669311784341,,0.0026310939603261673,,0.009377161700708556,,0.015437277596080773,,0.03208940639165697,,0.01846875997372203,,0.01868253868021678
1986-07-17,,0.01304767928163706,,0.00813340357229503,,0.025502494034010954,,0.0026310939603261673,,0.009377161700708556,,0.015451380241938182,,0.0330540200364632,,0.01847565024465162,,0.01880496478383098
1986-07-18,,0.013076304010562768,,0.007880108773655227,,0.025458812515938484,,0.0026310939603261673,,0.009377161700708556,,0.015451380241938182,,0.03354781030966917,,0.01836496182688315,,0.018845570231509904
1986-07-21,,0.013052504760268625,,0.007829750653108697,,0.02546007842313757,,0.0026310939603261673,,0.009377161700708556,,0.015456567511109747,,0.033425243706187754,,0.018331756186336787,,0.018876602581321397
1986-07-22,,0.013011810899593582,,0.007692238369433793,,0.0254607004995022,,0.0026310939603261673,,0.00944105221205195,,0.015391221874104865,,0.03370020701072385,,0.018377421570917787,,0.019057456828254847
1986-07-23,,0.013193172035657185,,0.007689730420483686,,0.02545408815500564,,0.0026310939603261673,,0.00944105221205195,,0.015391221874104865,,0.03394343126882942,,0.01837637557770403,,0.019282505960354614
1986-07-24,,0.013405433999616648,,0.007692702851486919,,0.025524472183180266,,0.002534804963717,,0.00944105221205195,,0.015386603319111226,,0.03403869446657112,,0.01841205390963566,,0.01933201834340902
1986-07-25,,0.013392784120372779,,0.007591076555819127,,0.025522715164936607,,0.002534804963717,,0.00944105221205195,,0.01532389657464354,,0.03444742666751877,,0.018450441858615448,,0.01939447955767833
1986-07-28,,0.013390671679760812,,0.007387417047298269,,0.02555378950015344,,0.002534804963717,,0.00944105221205195,,0.0153293546470113,,0.03436676985400266,,0.018426419498077568,,0.01961485232516247
1986-07-29,,0.014114683273073405,,0.007345638196739424,,0.02557183761773249,,0.002534804963717,,0.00944105221205195,,0.015132816633557722,,0.034067618693401774,,0.018433649673761113,,0.01943977676392825
1986-07-30,,0.01480128096274016,,0.007342077978345718,,0.025541756714419092,,0.002534804963717,,0.009470244531996441,,0.015124991094371702,,0.031235050819260122,,0.017363227954051094,,0.01943126221920938
1986-07-31,,0.015329715227962353,,0.007407445909452485,,0.02547470315789534,,0.002534804963717,,0.009081836773124333,,0.015111590527300508,,0.031265713296479876,,0.0163685796073024,,0.019505395291934475
1986-08-01,,0.015484436660405177,,0.007437974558461113,,0.025478055838615198,,0.0806943319950365,,0.009081836773124333,,0.014939463118428767,,0.031440546880201994,,0.016346452153999578,,0.019521396640708656
1986-08-04,,0.01542575624619179,,0.007544667993556187,,0.02546910903709806,,0.0806943319950365,,0.009081836773124333,,0.014949638243221647,,0.03146364234854502,,0.016381310168842336,,0.019680855815209845
1986-08-05,,0.015511486598273921,,0.0076724685150224734,,0.025525430536963944,,0.0806943319950365,,0.009011740921891479,,0.015162957969363637,,0.0316077692115804,,0.016419935337110773,,0.01976503715705251
1986-08-06,,0.015519452616364593,,0.007672601887602649,,0.025520377673323578,,0.0806943319950365,,0.008838128270934708,,0.015160597287754467,,0.0315744972800793,,0.01637407830028432,,0.01972968208062715
1986-08-07,,0.01551701307199224,,0.007688438174689509,,0.02551951401444734,,0.0806943319950365,,0.008838128270934708,,0.015207013554920884,,0.031557056814585614,,0.016488929584371224,,0.01977584986210541
1986-08-08,,0.015524696654795915,,0.007655374310654844,,0.025522593687749815,,0.0806943319950365,,0.008838128270934708,,0.015220627727310877,,0.03155556413529823,,0.01649588373143088,,0.019793891735447988
1986-08-11,,0.01554501827557158,,0.007648744282037817,,0.02552060356889132,,0.0806943319950365,,0.008648793855303913,,0.015200968334604275,,0.03151444140989322,,0.01644519147257081,,0.01973355162538374
1986-08-12,,0.015576820860143012,,0.007744608012284749,,0.02554694061539943,,0.0806943319950365,,0.00868951789861182,,0.015200968334604275,,0.031444537608548,,0.01645217732110303,,0.019774958035813098
1986-08-13,,0.015680371945351206,,0.007779837742164882,,0.025550646305675072,,0.0806943319950365,,0.00868951789861182,,0.015002193048006826,,0.03247725041584043,,0.016649300298273332,,0.019788577773748026
1986-08-14,,0.015739438355503458,,0.007987485224239874,,0.025570797074354,,0.0806943319950365,,0.008730232955434642,,0.014820675180808821,,0.03249137592859854,,0.016591110108173712,,0.01978295429454685
1986-08-15,,0.01593447619161,,0.007990429421022037,,0.025605957666189,,0.0806943319950365,,0.008730232955434642,,0.015004689665823096,,0.033160563029539444,,0.016578669692828372,,0.019777894483217994
1986-08-18,,0.01594066899227313,,0.008095736859668315,,0.025510511500206307,,0.0806943319950365,,0.008803703973350773,,0.015008223539441654,,0.033160596206609425,,0.016614036767172075,,0.019933820407369154
1986-08-19,,0.01596519402425784,,0.008003174955809881,,0.025547988984023544,,0.0806943319950365,,0.008874271776751347,,0.01500612781849973,,0.033802348534672316,,0.016671194852313134,,0.019945631082984635
1986-08-20,,0.015987730394401368,,0.007972611689352064,,0.025542966278108543,,0.0806943319950365,,0.008740254535061212,,0.014986979985975726,,0.033802832373199476,,0.01663958781001245,,0.01980091386281896
1986-08-21,,0.015974946402665762,,0.008089832495031991,,0.025498114865689803,,0.0806943319950365,,0.008740254535061212,,0.015124238164051156,,0.03373062901735098,,0.016647858326465308,,0.01994091851525462
1986-08-22,,0.015985931502587824,,0.008033429655273065,,0.025322310887567184,,0.0806943319950365,,0.00922992172290582,,0.015144294572805105,,0.03373429090999891,,0.016658439020437392,,0.019846010493484872
1986-08-25,,0.016127180562157756,,0.008057187905394258,,0.025237593533381585,,0.0806943319950365,,0.009046185258383152,,0.015111939821666472,,0.03372275480028267,,0.01679933431670266,,0.0199699211673721
1986-08-26,,0.016303767508081855,,0.007972010859879095,,0.025233662501003506,,0.0806943319950365,,0.00916541808969498,,0.015111939821666472,,0.03372325039166162,,0.016980604483112907,,0.01982226113161449
1986-08-27,,0.01635432767256797,,0.008047590062859891,,0.02524179165835114,,0.0806943319950365,,0.008931918309298237,,0.015007581757031173,,0.033776118201696105,,0.01695400482228989,,0.01982854650244655
1986-08-28,,0.016396825804861424,,0.008055996891527369,,0.025334958810084105,,0.0806943319950365,,0.008988184654819674,,0.015249389940695994,,0.034068459847139854,,0.0169677993070155,,0.019758210557148253
1986-08-29,,0.016378969468878925,,0.008376721079897596,,0.025442633360108654,,0.08078652489601122,,0.009004145387703994,,0.015324393351809015,,0.034221799034734574,,0.016958997149696092,,0.019838124024003832
1986-09-03,,0.0164594781364534,,0.008392306607697436,,0.025545619924592533,,0.08078652489601122,,0.009004145387703994,,0.015324393351809015,,0.03421666303549128,,0.016854480421711768,,0.019667255235564833
1986-09-04,,0.01637733648083645,,0.008625792759221545,,0.025539520251468214,,0.08087196724986141,,0.009004145387703994,,0.015324393351809015,,0.03419590314557225,,0.01670552003312523,,0.019811546051092
1986-09-05,,0.01636098163652351,,0.008645115042440279,,0.025531627056835756,,0.08089741749802735,,0.009004145387703994,,0.015324393351809015,,0.03382356105487926,,0.016715564923204532,,0.01959393680357252
1986-09-08,,0.016411201561124928,,0.00930132609113618,,0.02557397199625578,,0.08089741749802735,,0.008775160281813051,,0.015394991036556453,,0.03374179723884721,,0.01670268200206725,,0.019432172966117385
1986-09-09,,0.016389488790737983,,0.009362470576885207,,0.02557612749224364,,0.08178853707117865,,0.008775160281813051,,0.015317666280421884,,0.03407024723581698,,0.016676966086947746,,0.01957764643427496
1986-09-10,,0.01671294395151494,,0.009368604536469193,,0.025564982827640557,,0.08178853707117865,,0.008775160281813051,,0.015513563635951532,,0.0346370302465934,,0.01671024978204592,,0.019550890381710793
1986-09-11,,0.016707557131938763,,0.009342489798962596,,0.025541328836233838,,0.08178853707117865,,0.008775160281813051,,0.015513563635951532,,0.034638408192624745,,0.016757466322204984,,0.019489481643659576
1986-09-12,,0.016694441427892292,,0.009361929424030776,,0.025571688161044843,,0.08178853707117865,,0.008775160281813051,,0.015513563635951532,,0.03467060488571659,,0.01656952035306478,,0.01941344859039558
1986-09-15,,0.01670805315072412,,0.009846713636161844,,0.02556718099690084,,0.08178853707117865,,0.008775160281813051,,0.01554784869488156,,0.03450479744849035,,0.016572129039910247,,0.019414627998716627
1986-09-16,,0.016739964485857434,,0.009827718568024947,,0.025574818245734945,,0.08184637084606947,,0.00883031659327665,,0.015467098839504898,,0.034426072968788475,,0.016365278660429566,,0.019428358285819795
1986-09-17,,0.01668758232272598,,0.009819117033597108,,0.02559250747703096,,0.08183944912988456,,0.008941768984113205,,0.015467098839504898,,0.03447574913777634,,0.016364767464426905,,0.019274385851745027
1986-09-18,,0.016740802385353023,,0.009855610180302031,,0.025581861965953676,,0.08183944912988456,,0.008941768984113205,,0.015462611367239419,,0.03432341518621444,,0.016128455631102722,,0.019415360834547774
1986-09-19,,0.016751938802783584,,0.009894095849265476,,0.02560562140401993,,0.08198516746571727,,0.008991866524289353,,0.015360384974960777,,0.034333588788575196,,0.016125848012701345,,0.019571653956167796
1986-09-22,,0.01676295638630364,,0.009887170058704086,,0.02564248883008604,,0.08198516746571727,,0.008991866524289353,,0.01537330067395499,,0.0342906969033782,,0.016587938118800567,,0.019495485681930005
