Date,Value
1986-01-02,2.0
1986-01-03,2.1
1986-01-06,2.2
1986-01-07,2.5
1986-01-08,2.5
1986-01-09,2.5
1986-01-10,2.5
1986-01-13,2.5
1986-01-14,2.5
1986-01-15,2.5
1986-01-16,2.5
1986-01-17,2.5
1986-01-20,2.5
1986-01-21,2.5
1986-01-22,2.5
1986-01-23,2.5
1986-01-24,2.4
1986-01-27,2.4
1986-01-28,2.4
1986-01-29,2.35
1986-01-30,2.3
1986-01-31,2.3
1986-02-03,2.3
1986-02-04,2.25
1986-02-05,2.25
1986-02-06,2.25
1986-02-07,2.25
1986-02-10,2.25
1986-02-11,2.25
1986-02-12,2.25
1986-02-13,2.2
1986-02-14,2.2
1986-02-18,2.2
1986-02-19,2.2
1986-02-20,2.25
1986-02-21,2.25
1986-02-24,2.3
1986-02-25,2.3
1986-02-26,2.3
1986-02-27,2.3
1986-02-28,2.3
1986-03-03,2.3
1986-03-04,2.35
1986-03-05,2.35
1986-03-06,2.35
1986-03-07,2.35
1986-03-10,2.35
1986-03-11,2.35
1986-03-12,2.35
1986-03-13,2.35
1986-03-14,2.35
1986-03-17,2.35
1986-03-18,2.35
1986-03-19,2.35
1986-03-20,2.35
1986-03-21,2.35
1986-03-24,2.35
1986-03-25,2.35
1986-03-26,2.35
1986-03-27,2.35
1986-03-31,2.35
1986-04-01,2.35
1986-04-02,2.35
1986-04-03,2.3
1986-04-04,2.3
1986-04-07,2.25
1986-04-08,2.25
1986-04-09,2.25
1986-04-10,2.25
1986-04-11,2.25
1986-04-14,2.25
1986-04-15,2.25
1986-04-16,2.25
1986-04-17,2.25
1986-04-18,2.25
1986-04-21,2.25
1986-04-22,2.25
1986-04-23,2.25
1986-04-24,2.3
1986-04-25,2.3
1986-04-28,2.3
1986-04-29,2.3
1986-04-30,2.3
1986-05-01,2.3
1986-05-02,2.3
1986-05-05,2.3
1986-05-06,2.3
1986-05-07,2.3
1986-05-08,2.25
1986-05-09,2.25
1986-05-12,2.2
1986-05-13,2.2
1986-05-14,2.2
1986-05-15,2.2
1986-05-16,2.2
1986-05-19,2.15
1986-05-20,2.1
1986-05-21,2.1
1986-05-22,2.05
1986-05-23,2.05
1986-05-27,2.0
1986-05-28,2.0
1986-05-29,2.0
1986-05-30,2.0
1986-06-02,2.0
1986-06-03,2.0
1986-06-04,2.0
1986-06-05,2.0
1986-06-06,2.0
1986-06-09,1.95
1986-06-10,1.95
1986-06-11,1.95
1986-06-12,1.95
1986-06-13,1.95
1986-06-16,1.9
1986-06-17,1.9
1986-06-18,1.9
1986-06-19,1.9
1986-06-20,1.9
1986-06-23,1.9
1986-06-24,1.9
1986-06-25,1.87
1986-06-26,1.87
1986-06-27,1.85
1986-06-30,1.85
1986-07-01,1.85
1986-07-02,1.85
1986-07-03,1.85
1986-07-07,1.85
1986-07-08,1.85
1986-07-09,1.85
1986-07-10,1.85
1986-07-11,1.85
1986-07-14,1.85
1986-07-15,1.9
1986-07-16,1.9
1986-07-17,1.9
1986-07-18,1.9
1986-07-21,1.9
1986-07-22,1.92
1986-07-23,1.92
1986-07-24,1.92
1986-07-25,1.92
1986-07-28,1.92
1986-07-29,1.92
1986-07-30,1.9
1986-07-31,1.85
1986-08-01,1.85
1986-08-04,1.85
1986-08-05,1.82
1986-08-06,1.82
1986-08-07,1.82
1986-08-08,1.82
1986-08-11,1.82
1986-08-12,1.8
1986-08-13,1.8
1986-08-14,1.78
1986-08-15,1.78
1986-08-18,1.8
1986-08-19,1.82
1986-08-20,1.84
1986-08-21,1.84
1986-08-22,1.9
1986-08-25,1.92
1986-08-26,1.95
1986-08-27,1.95
1986-08-28,1.97
1986-08-29,1.98
1986-09-02,2.0
1986-09-03,2.0
1986-09-04,2.0
1986-09-05,2.0
1986-09-08,2.0
1986-09-09,2.0
1986-09-10,2.0
1986-09-11,2.0
1986-09-12,2.0
1986-09-15,2.0
1986-09-16,2.02
1986-09-17,2.05
1986-09-18,2.05
1986-09-19,2.07
1986-09-22,2.07
1986-09-23,2.08
1986-09-24,2.08
1986-09-25,2.08
1986-09-26,2.06
1986-09-29,2.06
1986-09-30,2.06
1986-10-01,2.0
1986-10-02,2.0
1986-10-03,1.98
1986-10-06,1.98
1986-10-07,2.0
1986-10-08,2.0
1986-10-09,1.98
1986-10-10,1.93
1986-10-13,1.93
1986-10-14,1.9
1986-10-15,1.9
1986-10-16,1.88
1986-10-17,1.86
1986-10-20,1.84
1986-10-21,1.84
1986-10-22,1.8
1986-10-23,1.78
1986-10-24,1.78
1986-10-27,1.78
1986-10-28,1.78
1986-10-29,1.72
1986-10-30,1.72
1986-10-31,1.72
1986-11-03,1.72
1986-11-04,1.72
1986-11-05,1.72
1986-11-06,1.72
1986-11-07,1.74
1986-11-10,1.74
1986-11-11,1.74
1986-11-12,1.7
1986-11-13,1.7
1986-11-14,1.65
1986-11-17,1.63
1986-11-18,1.63
1986-11-19,1.63
1986-11-20,1.63
1986-11-21,1.63
1986-11-24,1.63
1986-11-25,1.63
1986-11-26,1.63
1986-11-28,1.63
1986-12-01,1.63
1986-12-02,1.6
1986-12-03,1.55
1986-12-04,1.53
1986-12-05,1.5
1986-12-08,1.47
1986-12-09,1.44
1986-12-10,1.44
1986-12-11,1.44
1986-12-12,1.44
1986-12-15,1.44
1986-12-16,1.44
1986-12-17,1.4
1986-12-18,1.4
1986-12-19,1.4
1986-12-22,1.4
1986-12-23,1.4
1986-12-24,1.4
1986-12-26,1.4
1986-12-29,1.4
1986-12-30,1.4
1986-12-31,1.4
1987-01-02,1.4
1987-01-05,1.4
1987-01-06,1.4
1987-01-07,1.4
1987-01-08,1.3
1987-01-09,1.3
1987-01-12,1.27
1987-01-13,1.27
1987-01-14,1.3
1987-01-15,1.27
1987-01-16,1.27
1987-01-19,1.27
1987-01-20,1.27
1987-01-21,1.26
1987-01-22,1.26
1987-01-23,1.26
1987-01-26,1.25
1987-01-27,1.25
1987-01-28,1.25
1987-01-29,1.23
1987-01-30,1.23
1987-02-02,1.23
1987-02-03,1.22
1987-02-04,1.22
1987-02-05,1.22
1987-02-06,1.22
1987-02-09,1.22
1987-02-10,1.22
1987-02-11,1.22
1987-02-12,1.22
1987-02-13,1.22
1987-02-17,1.17
1987-02-18,1.16
1987-02-19,1.16
1987-02-20,1.16
1987-02-23,1.17
1987-02-24,1.18
1987-02-25,1.18
1987-02-26,1.19
1987-02-27,1.2
1987-03-02,1.2
1987-03-03,1.2
1987-03-04,1.2
1987-03-05,1.05
1987-03-06,1.05
1987-03-09,1.05
1987-03-10,1.05
1987-03-11,1.06
1987-03-12,1.06
1987-03-13,1.03
1987-03-16,1.03
1987-03-17,1.03
1987-03-18,1.03
1987-03-19,1.03
1987-03-20,1.03
1987-03-23,1.03
1987-03-24,1.03
1987-03-25,1.03
1987-03-26,1.02
1987-03-27,1.02
1987-03-30,1.02
1987-03-31,1.0
1987-04-01,1.0
1987-04-02,1.0
1987-04-03,1.0
1987-04-06,1.0
1987-04-07,1.0
1987-04-08,1.0
1987-04-09,1.0
1987-04-10,1.0
1987-04-13,1.0
1987-04-14,1.02
1987-04-15,1.02
1987-04-16,1.02
1987-04-20,1.03
1987-04-21,1.03
1987-04-22,1.03
1987-04-23,1.03
1987-04-24,1.05
1987-04-27,1.05
1987-04-28,1.05
1987-04-29,1.07
1987-04-30,1.07
1987-05-01,1.07
1987-05-04,1.07
1987-05-05,1.08
1987-05-06,1.07
1987-05-07,1.07
1987-05-08,1.07
1987-05-11,1.07
1987-05-12,1.07
1987-05-13,1.08
1987-05-14,1.08
1987-05-15,1.08
1987-05-18,1.08
1987-05-19,1.1
1987-05-20,1.12
1987-05-21,1.12
1987-05-22,1.12
1987-05-26,1.12
1987-05-27,1.12
1987-05-28,1.12
1987-05-29,1.12
1987-06-01,1.12
1987-06-02,1.12
1987-06-03,1.12
1987-06-04,1.1
1987-06-05,1.1
1987-06-08,1.1
1987-06-09,1.1
1987-06-10,1.1
1987-06-11,1.1
1987-06-12,1.1
1987-06-15,1.09
1987-06-16,1.09
1987-06-17,1.08
1987-06-18,1.07
1987-06-19,1.07
1987-06-22,1.07
1987-06-23,1.05
1987-06-24,1.05
1987-06-25,1.04
1987-06-26,1.03
1987-06-29,1.03
1987-06-30,1.03
1987-07-01,1.03
1987-07-02,1.03
1987-07-06,1.03
1987-07-07,1.0
1987-07-08,1.0
1987-07-09,1.0
1987-07-10,1.0
1987-07-13,1.0
1987-07-14,1.0
1987-07-15,0.99
1987-07-16,0.99
1987-07-17,0.99
1987-07-20,0.99
1987-07-21,0.99
1987-07-22,0.99
1987-07-23,0.99
1987-07-24,0.99
1987-07-27,0.99
1987-07-28,0.99
1987-07-29,0.99
1987-07-30,0.99
1987-07-31,0.99
1987-08-03,0.99
1987-08-04,0.99
1987-08-05,0.99
1987-08-06,0.97
1987-08-07,0.97
1987-08-10,0.95
1987-08-11,0.95
1987-08-12,0.95
1987-08-13,0.95
1987-08-14,0.95
1987-08-17,0.95
1987-08-18,0.95
1987-08-19,0.95
1987-08-20,0.95
1987-08-21,0.95
1987-08-24,0.95
1987-08-25,0.95
1987-08-26,0.95
1987-08-27,0.95
1987-08-28,0.95
1987-08-31,0.97
1987-09-01,0.97
1987-09-02,0.97
1987-09-03,0.97
1987-09-04,0.97
1987-09-08,0.97
1987-09-09,0.97
1987-09-10,0.97
1987-09-11,0.97
1987-09-14,0.97
1987-09-15,0.97
1987-09-16,0.97
1987-09-17,0.97
1987-09-18,0.97
1987-09-21,0.97
1987-09-22,0.96
1987-09-23,0.96
1987-09-24,0.96
1987-09-25,0.96
1987-09-28,0.96
1987-09-29,0.96
1987-09-30,0.95
1987-10-01,0.95
1987-10-02,0.97
1987-10-05,1.0
1987-10-06,1.03
1987-10-07,1.03
1987-10-08,1.03
1987-10-09,1.05
1987-10-12,1.05
1987-10-13,1.06
1987-10-14,1.06
1987-10-15,1.07
1987-10-16,1.07
1987-10-19,1.07
1987-10-20,1.07
1987-10-21,1.07
1987-10-22,1.07
1987-10-23,1.07
1987-10-26,1.07
1987-10-27,1.07
1987-10-28,1.07
1987-10-29,1.1
1987-10-30,1.15
1987-11-02,1.17
1987-11-03,1.17
1987-11-04,1.17
1987-11-05,1.18
1987-11-06,1.18
1987-11-09,1.18
1987-11-10,1.18
1987-11-11,1.18
1987-11-12,1.18
1987-11-13,1.18
1987-11-16,1.19
1987-11-17,1.19
1987-11-18,1.19
1987-11-19,1.19
1987-11-20,1.19
1987-11-23,1.19
1987-11-24,1.2
1987-11-25,1.2
1987-11-27,1.2
1987-11-30,1.2
1987-12-01,1.2
1987-12-02,1.2
1987-12-03,1.2
1987-12-04,1.2
1987-12-07,1.2
1987-12-08,1.2
1987-12-09,1.2
1987-12-10,1.2
1987-12-11,1.2
1987-12-14,1.2
1987-12-15,1.19
1987-12-16,1.19
1987-12-17,1.19
1987-12-18,1.19
1987-12-21,1.19
1987-12-22,1.19
1987-12-23,1.19
1987-12-24,1.19
1987-12-28,1.19
1987-12-29,1.19
1987-12-30,1.18
1987-12-31,1.18
1988-01-04,1.18
1988-01-05,1.18
1988-01-06,1.19
1988-01-07,1.19
1988-01-08,1.19
1988-01-11,1.18
1988-01-12,1.18
1988-01-13,1.18
1988-01-14,1.18
1988-01-15,1.18
1988-01-18,1.18
1988-01-19,1.19
1988-01-20,1.19
1988-01-21,1.19
1988-01-22,1.2
1988-01-25,1.2
1988-01-26,1.2
1988-01-27,1.2
1988-01-28,1.21
1988-01-29,1.21
1988-02-01,1.21
1988-02-02,1.22
1988-02-03,1.23
1988-02-04,1.23
1988-02-05,1.23
1988-02-08,1.27
1988-02-09,1.27
1988-02-10,1.27
1988-02-11,1.27
1988-02-12,1.27
1988-02-16,1.27
1988-02-17,1.27
1988-02-18,1.28
1988-02-19,1.3
1988-02-22,1.31
1988-02-23,1.31
1988-02-24,1.32
1988-02-25,1.32
1988-02-26,1.32
1988-02-29,1.31
1988-03-01,1.31
1988-03-02,1.31
1988-03-03,1.31
1988-03-04,1.31
1988-03-07,1.29
1988-03-08,1.29
1988-03-09,1.29
1988-03-10,1.29
1988-03-11,1.29
1988-03-14,1.29
1988-03-15,1.28
1988-03-16,1.28
1988-03-17,1.26
1988-03-18,1.26
1988-03-21,1.25
1988-03-22,1.25
1988-03-23,1.25
1988-03-24,1.25
1988-03-25,1.25
1988-03-28,1.25
1988-03-29,1.25
1988-03-30,1.24
1988-03-31,1.24
1988-04-04,1.24
1988-04-05,1.23
1988-04-06,1.23
1988-04-07,1.23
1988-04-08,1.23
1988-04-11,1.23
1988-04-12,1.23
1988-04-13,1.23
1988-04-14,1.23
1988-04-15,1.23
1988-04-18,1.23
1988-04-19,1.23
1988-04-20,1.23
1988-04-21,1.23
1988-04-22,1.23
1988-04-25,1.23
1988-04-26,1.23
1988-04-27,1.22
1988-04-28,1.22
1988-04-29,1.21
1988-05-02,1.21
1988-05-03,1.22
1988-05-04,1.22
1988-05-05,1.23
1988-05-06,1.23
1988-05-09,1.23
1988-05-10,1.23
1988-05-11,1.23
1988-05-12,1.23
1988-05-13,1.23
1988-05-16,1.21
1988-05-17,1.21
