Date,Value
1986-01-02,0.59
1986-01-03,0.59
1986-01-06,0.59
1986-01-07,0.59
1986-01-08,0.59
1986-01-09,0.595
1986-01-10,0.595
1986-01-13,0.595
1986-01-14,0.595
1986-01-15,0.595
1986-01-16,0.595
1986-01-17,0.6
1986-01-20,0.6
1986-01-21,0.6
1986-01-22,0.6
1986-01-23,0.6
1986-01-24,0.6
1986-01-27,0.6
1986-01-28,0.6
1986-01-29,0.6
1986-01-30,0.6
1986-01-31,0.6
1986-02-03,0.6
1986-02-04,0.6
1986-02-05,0.6
1986-02-06,0.6
1986-02-07,0.6
1986-02-10,0.6
1986-02-11,0.6
1986-02-12,0.6
1986-02-13,0.6
1986-02-14,0.6
1986-02-18,0.62
1986-02-19,0.62
1986-02-20,0.62
1986-02-21,0.62
1986-02-24,0.62
1986-02-25,0.62
1986-02-26,0.62
1986-02-27,0.62
1986-02-28,0.62
1986-03-03,0.62
1986-03-04,0.62
1986-03-05,0.62
1986-03-06,0.62
1986-03-07,0.62
1986-03-10,0.62
1986-03-11,0.62
1986-03-12,0.62
1986-03-13,0.625
1986-03-14,0.625
1986-03-17,0.625
1986-03-18,0.625
1986-03-19,0.625
1986-03-20,0.625
1986-03-21,0.625
1986-03-24,0.625
1986-03-25,0.6275
1986-03-26,0.6275
1986-03-27,0.63
1986-03-31,0.63
1986-04-01,0.63
1986-04-02,0.63
1986-04-03,0.63
1986-04-04,0.63
1986-04-07,0.63
1986-04-08,0.63
1986-04-09,0.63
1986-04-10,0.63
1986-04-11,0.6325
1986-04-14,0.6325
1986-04-15,0.635
1986-04-16,0.635
1986-04-17,0.635
1986-04-18,0.635
1986-04-21,0.635
1986-04-22,0.635
1986-04-23,0.635
1986-04-24,0.635
1986-04-25,0.635
1986-04-28,0.635
1986-04-29,0.635
1986-04-30,0.635
1986-05-01,0.64
1986-05-02,0.64
1986-05-05,0.64
1986-05-06,0.64
1986-05-07,0.645
1986-05-08,0.645
1986-05-09,0.645
1986-05-12,0.645
1986-05-13,0.645
1986-05-14,0.65
1986-05-15,0.65
1986-05-16,0.65
1986-05-19,0.65
1986-05-20,0.65
1986-05-21,0.655
1986-05-22,0.655
1986-05-23,0.655
1986-05-27,0.655
1986-05-28,0.655
1986-05-29,0.655
1986-05-30,0.655
1986-06-02,0.655
1986-06-03,0.655
1986-06-04,0.665
1986-06-05,0.655
1986-06-06,0.655
1986-06-09,0.655
1986-06-10,0.655
1986-06-11,0.655
1986-06-12,0.655
1986-06-13,0.655
1986-06-16,0.655
1986-06-17,0.655
1986-06-18,0.655
1986-06-19,0.655
1986-06-20,0.655
1986-06-23,0.655
1986-06-24,0.655
1986-06-25,0.655
1986-06-26,0.655
1986-06-27,0.655
1986-06-30,0.655
1986-07-01,0.655
1986-07-02,0.655
1986-07-03,0.655
1986-07-07,0.655
1986-07-08,0.655
1986-07-09,0.655
1986-07-10,0.655
1986-07-11,0.655
1986-07-14,0.655
1986-07-15,0.655
1986-07-16,0.655
1986-07-17,0.655
1986-07-18,0.655
1986-07-21,0.655
1986-07-22,0.655
1986-07-23,0.655
1986-07-24,0.655
1986-07-25,0.655
1986-07-28,0.655
1986-07-29,0.655
1986-07-30,0.655
1986-07-31,0.655
1986-08-01,0.265
1986-08-04,0.265
1986-08-05,0.265
1986-08-06,0.265
1986-08-07,0.265
1986-08-08,0.265
1986-08-11,0.265
1986-08-12,0.265
1986-08-13,0.265
1986-08-14,0.265
1986-08-15,0.265
1986-08-18,0.265
1986-08-19,0.265
1986-08-20,0.265
1986-08-21,0.265
1986-08-22,0.265
1986-08-25,0.265
1986-08-26,0.265
1986-08-27,0.265
1986-08-28,0.265
1986-08-29,0.275
1986-09-02,0.275
1986-09-03,0.275
1986-09-04,0.285
1986-09-05,0.29
1986-09-08,0.29
1986-09-09,0.33
1986-09-10,0.33
1986-09-11,0.33
1986-09-12,0.33
1986-09-15,0.33
1986-09-16,0.34
1986-09-17,0.34
1986-09-18,0.34
1986-09-19,0.3575
1986-09-22,0.3575
1986-09-23,0.3675
1986-09-24,0.3675
1986-09-25,0.3675
1986-09-26,0.3675
1986-09-29,0.3675
1986-09-30,0.3955
1986-10-01,0.3975
1986-10-02,0.3975
1986-10-03,0.3975
1986-10-06,0.3975
1986-10-07,0.3975
1986-10-08,0.3975
1986-10-09,0.3975
1986-10-10,0.3975
1986-10-13,0.3975
1986-10-14,0.42
1986-10-15,0.42
1986-10-16,0.42
1986-10-17,0.42
1986-10-20,0.42
1986-10-21,0.443
1986-10-22,0.443
1986-10-23,0.443
1986-10-24,0.443
1986-10-27,0.443
1986-10-28,0.443
1986-10-29,0.443
1986-10-30,0.443
1986-10-31,0.433
1986-11-03,0.433
1986-11-04,0.433
1986-11-05,0.433
1986-11-06,0.433
1986-11-07,0.433
1986-11-10,0.433
1986-11-11,0.433
1986-11-12,0.433
1986-11-13,0.433
1986-11-14,0.433
1986-11-17,0.433
1986-11-18,0.433
1986-11-19,0.433
1986-11-20,0.453
1986-11-21,0.453
1986-11-24,0.453
1986-11-25,0.463
1986-11-26,0.463
1986-11-28,0.463
1986-12-01,0.463
1986-12-02,0.483
1986-12-03,0.483
1986-12-04,0.49
1986-12-05,0.49
1986-12-08,0.49
1986-12-09,0.5
1986-12-10,0.5
1986-12-11,0.52
1986-12-12,0.52
1986-12-15,0.52
1986-12-16,0.52
1986-12-17,0.52
1986-12-18,0.52
1986-12-19,0.52
1986-12-22,0.52
1986-12-23,0.53
1986-12-24,0.53
1986-12-26,0.53
1986-12-29,0.53
1986-12-30,0.54
1986-12-31,0.54
1987-01-02,0.54
1987-01-05,0.54
1987-01-06,0.54
1987-01-07,0.54
1987-01-08,0.545
1987-01-09,0.545
1987-01-12,0.545
