Date,Value
1986-01-02,0.2202
1986-01-03,0.2185
1986-01-06,0.2125
1986-01-07,0.2141
1986-01-08,0.2146
1986-01-09,0.2115
1986-01-10,0.2066
1986-01-13,0.2016
1986-01-14,0.2045
1986-01-15,0.2037
1986-01-16,0.2015
1986-01-17,0.2026
1986-01-20,0.2043
1986-01-21,0.2015
1986-01-22,0.1984
1986-01-23,0.2122
1986-01-24,0.1982
1986-01-27,0.1997
1986-01-28,0.199
1986-01-29,0.199
1986-01-30,0.2014
1986-01-31,0.1994
1986-02-03,0.1978
1986-02-04,0.2002
1986-02-05,0.2011
1986-02-06,0.199
1986-02-07,0.195
1986-02-10,0.1929
1986-02-11,0.1913
1986-02-12,0.1868
1986-02-13,0.1888
1986-02-14,0.1854
1986-02-18,0.1832
1986-02-19,0.1831
1986-02-20,0.1829
1986-02-21,0.1831
1986-02-24,0.1793
1986-02-25,0.1756
1986-02-26,0.1767
1986-02-27,0.1723
1986-02-28,0.1675
1986-03-03,0.1676
1986-03-04,0.1699
1986-03-05,0.1716
1986-03-06,0.1704
1986-03-07,0.1679
1986-03-10,0.1724
1986-03-11,0.1722
1986-03-12,0.1773
1986-03-13,0.1767
1986-03-14,0.171
1986-03-17,0.1701
1986-03-18,0.1753
1986-03-19,0.1762
1986-03-20,0.1749
1986-03-21,0.1752
1986-03-24,0.1776
1986-03-25,0.18
1986-03-26,0.189
1986-03-27,0.1849
1986-03-31,0.1924
1986-04-01,0.1907
1986-04-02,0.1863
1986-04-03,0.179
1986-04-04,0.1797
1986-04-07,0.1826
1986-04-08,0.1796
1986-04-09,0.1741
1986-04-10,0.1743
1986-04-11,0.1743
1986-04-14,0.1744
1986-04-15,0.1774
1986-04-16,0.1728
1986-04-17,0.1735
1986-04-18,0.1723
1986-04-21,0.1709
1986-04-22,0.1722
1986-04-23,0.1713
1986-04-24,0.1729
1986-04-25,0.1716
1986-04-28,0.1704
1986-04-29,0.1762
1986-04-30,0.1865
1986-05-01,0.1792
1986-05-02,0.1767
1986-05-05,0.1751
1986-05-06,0.1739
1986-05-07,0.1746
1986-05-08,0.1794
1986-05-09,0.1791
1986-05-12,0.1755
1986-05-13,0.1783
1986-05-14,0.1778
1986-05-15,0.1742
1986-05-16,0.1745
1986-05-19,0.1749
1986-05-20,0.1775
1986-05-21,0.1786
1986-05-22,0.1806
1986-05-23,0.1852
1986-05-27,0.1831
1986-05-28,0.1825
1986-05-29,0.1787
1986-05-30,0.1746
1986-06-02,0.1723
1986-06-03,0.1723
1986-06-04,0.1742
1986-06-05,0.1726
1986-06-06,0.1722
1986-06-09,0.1681
1986-06-10,0.1681
1986-06-11,0.169
1986-06-12,0.1669
1986-06-13,0.1656
1986-06-16,0.1646
1986-06-17,0.1674
1986-06-18,0.1682
1986-06-19,0.1688
1986-06-20,0.1684
1986-06-23,0.1672
1986-06-24,0.1661
