Date,Value
1986-01-02,5.265
1986-01-03,5.205
1986-01-06,5.245
1986-01-07,5.31
1986-01-08,5.33
1986-01-09,5.33
1986-01-10,5.24
1986-01-13,5.12
1986-01-14,5.195
1986-01-15,5.3
1986-01-16,5.28
1986-01-17,5.295
1986-01-20,5.375
1986-01-21,5.27
1986-01-22,5.325
1986-01-23,5.31
1986-01-24,5.34
1986-01-27,5.335
1986-01-28,5.35
1986-01-29,5.35
1986-01-30,5.355
1986-01-31,5.285
1986-02-03,5.24
1986-02-04,5.26
1986-02-05,5.335
1986-02-06,5.29
1986-02-07,5.28
1986-02-10,5.31
1986-02-11,5.3
1986-02-12,5.21
1986-02-13,5.255
1986-02-14,5.25
1986-02-18,5.23
1986-02-19,5.17
1986-02-20,5.16
1986-02-21,5.255
1986-02-24,5.24
1986-02-25,5.215
1986-02-26,5.21
1986-02-27,5.255
1986-02-28,5.27
1986-03-03,5.23
1986-03-04,5.315
1986-03-05,5.3
1986-03-06,5.32
1986-03-07,5.275
1986-03-10,5.31
1986-03-11,5.285
1986-03-12,5.32
1986-03-13,5.29
1986-03-14,5.31
1986-03-17,5.325
1986-03-18,5.345
1986-03-19,5.325
1986-03-20,5.29
1986-03-21,5.305
1986-03-24,5.28
1986-03-25,5.305
1986-03-26,5.305
1986-03-27,5.3
1986-03-31,5.33
1986-04-01,5.35
1986-04-02,5.305
1986-04-03,5.175
1986-04-04,5.165
1986-04-07,5.21
1986-04-08,5.225
1986-04-09,5.185
1986-04-10,5.195
1986-04-11,5.195
1986-04-14,5.205
1986-04-15,5.21
1986-04-16,5.185
1986-04-17,5.21
1986-04-18,5.21
1986-04-21,5.22
1986-04-22,5.23
1986-04-23,5.23
1986-04-24,5.235
1986-04-25,5.235
1986-04-28,5.25
1986-04-29,5.295
1986-04-30,5.375
1986-05-01,5.25
1986-05-02,5.25
1986-05-05,5.3
1986-05-06,5.27
1986-05-07,5.24
1986-05-08,5.285
1986-05-09,5.305
1986-05-12,5.265
1986-05-13,5.3
1986-05-14,5.285
1986-05-15,5.22
1986-05-16,5.22
1986-05-19,5.22
1986-05-20,5.225
1986-05-21,5.22
1986-05-22,5.235
1986-05-23,5.245
1986-05-27,5.245
1986-05-28,5.275
1986-05-29,5.265
1986-05-30,5.215
1986-06-02,5.225
1986-06-03,5.225
1986-06-04,5.24
1986-06-05,5.27
1986-06-06,5.285
1986-06-09,5.245
1986-06-10,5.285
1986-06-11,5.285
1986-06-12,5.275
1986-06-13,5.235
1986-06-16,5.23
1986-06-17,5.25
1986-06-18,5.29
1986-06-19,5.31
1986-06-20,5.29
1986-06-23,5.27
1986-06-24,5.22
1986-06-25,5.175
1986-06-26,5.15
1986-06-27,5.135
1986-06-30,5.05
1986-07-01,5.015
1986-07-02,5.04
1986-07-03,5.07
1986-07-07,5.015
1986-07-08,5.05
1986-07-09,5.05
1986-07-10,5.095
1986-07-11,5.115
1986-07-14,5.135
1986-07-15,5.2
1986-07-16,5.285
1986-07-17,5.215
1986-07-18,5.185
1986-07-21,5.24
1986-07-22,5.18
1986-07-23,5.195
1986-07-24,5.175
1986-07-25,5.205
1986-07-28,5.215
1986-07-29,5.185
1986-07-30,5.18
1986-07-31,5.115
1986-08-01,5.075
1986-08-04,5.0
1986-08-05,4.92
1986-08-06,4.925
1986-08-07,4.855
1986-08-08,4.855
1986-08-11,4.84
1986-08-12,4.74
1986-08-13,4.79
1986-08-14,4.885
1986-08-15,4.915
1986-08-18,4.985
1986-08-19,4.935
1986-08-20,4.955
1986-08-21,5.03
1986-08-22,5.01
1986-08-25,5.045
1986-08-26,5.11
1986-08-27,5.045
1986-08-28,5.075
1986-08-29,4.945
1986-09-02,4.845
1986-09-03,4.895
1986-09-04,5.005
1986-09-05,4.955
1986-09-08,4.75
1986-09-09,4.805
1986-09-10,4.83
1986-09-11,4.835
1986-09-12,4.785
1986-09-15,4.62
1986-09-16,4.63
1986-09-17,4.62
1986-09-18,4.665
1986-09-19,4.71
1986-09-22,4.715
1986-09-23,4.75
1986-09-24,4.76
1986-09-25,4.735
1986-09-26,4.73
1986-09-29,4.78
1986-09-30,4.785
1986-10-01,4.81
1986-10-02,4.78
1986-10-03,4.735
1986-10-06,4.575
