Date,Value
1986-01-02,0.0474
1986-01-03,0.0477
1986-01-06,0.0479
1986-01-07,0.0504
1986-01-08,0.0487
1986-01-09,0.0484
1986-01-10,0.049
1986-01-13,0.0468
1986-01-14,0.0444
1986-01-15,0.0452
1986-01-16,0.0441
1986-01-17,0.0451
1986-01-20,0.0448
1986-01-21,0.0435
1986-01-22,0.046
1986-01-23,0.0537
1986-01-24,0.0532
1986-01-27,0.0533
1986-01-28,0.0531
1986-01-29,0.0529
1986-01-30,0.0521
1986-01-31,0.0536
1986-02-03,0.0534
1986-02-04,0.0545
1986-02-05,0.0533
1986-02-06,0.0537
1986-02-07,0.0546
1986-02-10,0.0549
1986-02-11,0.055
1986-02-12,0.0552
1986-02-13,0.0554
1986-02-14,0.0536
1986-02-18,0.0544
1986-02-19,0.0549
1986-02-20,0.0556
1986-02-21,0.0558
1986-02-24,0.0577
1986-02-25,0.0586
1986-02-26,0.0575
1986-02-27,0.0578
1986-02-28,0.0589
1986-03-03,0.0629
1986-03-04,0.0644
1986-03-05,0.0634
1986-03-06,0.0631
1986-03-07,0.0636
1986-03-10,0.063
1986-03-11,0.0662
1986-03-12,0.0678
1986-03-13,0.0677
1986-03-14,0.0703
1986-03-17,0.0691
1986-03-18,0.0702
1986-03-19,0.0689
1986-03-20,0.0693
1986-03-21,0.0717
1986-03-24,0.0762
1986-03-25,0.077
1986-03-26,0.0845
1986-03-27,0.0842
1986-03-31,0.0898
1986-04-01,0.0893
1986-04-02,0.0868
1986-04-03,0.0848
1986-04-04,0.086
1986-04-07,0.0918
1986-04-08,0.0931
1986-04-09,0.0909
1986-04-10,0.0879
1986-04-11,0.0783
1986-04-14,0.0803
1986-04-15,0.079
1986-04-16,0.079
1986-04-17,0.0806
1986-04-18,0.0822
1986-04-21,0.0797
1986-04-22,0.078
1986-04-23,0.0786
1986-04-24,0.0799
1986-04-25,0.0821
1986-04-28,0.081
1986-04-29,0.0845
1986-04-30,0.0858
1986-05-01,0.0841
1986-05-02,0.084
1986-05-05,0.0848
1986-05-06,0.086
1986-05-07,0.083
1986-05-08,0.083
1986-05-09,0.0841
1986-05-12,0.083
1986-05-13,0.0802
1986-05-14,0.0754
1986-05-15,0.0746
1986-05-16,0.0755
1986-05-19,0.0715
1986-05-20,0.0677
1986-05-21,0.0691
1986-05-22,0.0688
1986-05-23,0.0709
1986-05-27,0.0711
1986-05-28,0.0687
1986-05-29,0.0686
1986-05-30,0.0713
1986-06-02,0.0726
1986-06-03,0.0715
1986-06-04,0.0705
1986-06-05,0.0688
1986-06-06,0.0705
1986-06-09,0.0676
1986-06-10,0.066
1986-06-11,0.0666
1986-06-12,0.0642
1986-06-13,0.0627
1986-06-16,0.0627
1986-06-17,0.0616
1986-06-18,0.0624
1986-06-19,0.0617
1986-06-20,0.0592
1986-06-23,0.0586
1986-06-24,0.0581
1986-06-25,0.0565
1986-06-26,0.0591
1986-06-27,0.0597
1986-06-30,0.0596
1986-07-01,0.0601
1986-07-02,0.0568
1986-07-03,0.0568
1986-07-07,0.0531
1986-07-08,0.0527
1986-07-09,0.0527
1986-07-10,0.0527
1986-07-11,0.0501
1986-07-14,0.0492
1986-07-15,0.0503
1986-07-16,0.049
1986-07-17,0.0536
1986-07-18,0.0581
1986-07-21,0.0557
1986-07-22,0.0587
1986-07-23,0.0558
1986-07-24,0.0579
1986-07-25,0.0616
1986-07-28,0.0629
1986-07-29,0.062
1986-07-30,0.0632
1986-07-31,0.0621
1986-08-01,0.0599
1986-08-04,0.0591
1986-08-05,0.0612
1986-08-06,0.0614
1986-08-07,0.063
1986-08-08,0.0633
1986-08-11,0.0638
1986-08-12,0.0638
1986-08-13,0.0583
1986-08-14,0.0572
1986-08-15,0.0531
1986-08-18,0.0532
1986-08-19,0.0494
1986-08-20,0.0496
1986-08-21,0.0506
1986-08-22,0.05
1986-08-25,0.0495
1986-08-26,0.0497
1986-08-27,0.0517
1986-08-28,0.049
1986-08-29,0.047
1986-09-02,0.046
1986-09-03,0.046
1986-09-04,0.0452
1986-09-05,0.0434
1986-09-08,0.0434
1986-09-09,0.0457
1986-09-10,0.0489
1986-09-11,0.0483
1986-09-12,0.0491
1986-09-15,0.0473
1986-09-16,0.0474
1986-09-17,0.0463
1986-09-18,0.0453
1986-09-19,0.0444
1986-09-22,0.0442
1986-09-23,0.0485
1986-09-24,0.0491
1986-09-25,0.0483
1986-09-26,0.0479
1986-09-29,0.0461
1986-09-30,0.0493
1986-10-01,0.047
1986-10-02,0.0463
1986-10-03,0.0479
1986-10-06,0.0495
1986-10-07,0.0485
1986-10-08,0.0483
1986-10-09,0.0531
1986-10-10,0.055
1986-10-13,0.0561
1986-10-14,0.0546
1986-10-15,0.0546
1986-10-16,0.0552
1986-10-17,0.0578
1986-10-20,0.0567
1986-10-21,0.0569
1986-10-22,0.058
1986-10-23,0.0571
1986-10-24,0.0569
1986-10-27,0.0576
1986-10-28,0.0576
1986-10-29,0.0577
1986-10-30,0.0564
1986-10-31,0.0586
1986-11-03,0.0615
1986-11-04,0.0613
1986-11-05,0.0611
1986-11-06,0.0605
1986-11-07,0.0616
1986-11-10,0.0627
1986-11-11,0.0596
1986-11-12,0.0599
1986-11-13,0.0594
1986-11-14,0.0571
1986-11-17,0.0572
1986-11-18,0.0585
1986-11-19,0.0576
1986-11-20,0.059
1986-11-21,0.0584
1986-11-24,0.0576
1986-11-25,0.057
1986-11-26,0.0576
1986-11-28,0.0576
1986-12-01,0.0603
1986-12-02,0.0606
1986-12-03,0.0625
1986-12-04,0.0612
1986-12-05,0.061
1986-12-08,0.0611
1986-12-09,0.0573
1986-12-10,0.0574
1986-12-11,0.0571
1986-12-12,0.057
1986-12-15,0.0543
1986-12-16,0.0528
1986-12-17,0.0531
1986-12-18,0.0544
1986-12-19,0.0531
1986-12-22,0.0539
1986-12-23,0.0544
1986-12-24,0.0546
1986-12-26,0.0546
1986-12-29,0.0545
1986-12-30,0.0537
1986-12-31,0.0543
1987-01-02,0.0543
1987-01-05,0.0536
1987-01-06,0.0523
1987-01-07,0.0522
1987-01-08,0.0587
1987-01-09,0.0607
1987-01-12,0.0603
1987-01-13,0.0617
1987-01-14,0.0646
1987-01-15,0.0631
1987-01-16,0.0635
1987-01-19,0.0626
1987-01-20,0.0628
1987-01-21,0.065
1987-01-22,0.0688
1987-01-23,0.0734
1987-01-26,0.0734
1987-01-27,0.0743
1987-01-28,0.0769
1987-01-29,0.0748
1987-01-30,0.0722
1987-02-02,0.0739
1987-02-03,0.0736
1987-02-04,0.075
1987-02-05,0.0773
1987-02-06,0.0719
1987-02-09,0.0731
1987-02-10,0.0744
1987-02-11,0.0753
1987-02-12,0.075
1987-02-13,0.0747
1987-02-17,0.0731
1987-02-18,0.0697
1987-02-19,0.0709
1987-02-20,0.0712
1987-02-23,0.0723
1987-02-24,0.0716
1987-02-25,0.0726
1987-02-26,0.0736
1987-02-27,0.0778
1987-03-02,0.0806
1987-03-03,0.0808
1987-03-04,0.08
1987-03-05,0.0798
1987-03-06,0.081
1987-03-09,0.0794
1987-03-10,0.0803
1987-03-11,0.0783
1987-03-12,0.078
1987-03-13,0.0786
1987-03-16,0.0754
1987-03-17,0.0755
1987-03-18,0.0732
1987-03-19,0.0748
1987-03-20,0.0745
1987-03-23,0.0743
1987-03-24,0.0698
1987-03-25,0.0697
1987-03-26,0.0703
1987-03-27,0.0663
1987-03-30,0.0657
1987-03-31,0.0651
1987-04-01,0.066
1987-04-02,0.0656
1987-04-03,0.0666
1987-04-06,0.0661
1987-04-07,0.0662
1987-04-08,0.0656
1987-04-09,0.0658
1987-04-10,0.0677
1987-04-13,0.067
1987-04-14,0.0668
1987-04-15,0.0667
1987-04-16,0.0669
1987-04-20,0.067
1987-04-21,0.0639
1987-04-22,0.0619
1987-04-23,0.063
1987-04-24,0.068
1987-04-27,0.0675
1987-04-28,0.0672
1987-04-29,0.0692
1987-04-30,0.0702
1987-05-01,0.0654
1987-05-04,0.0668
1987-05-05,0.0658
1987-05-06,0.0672
1987-05-07,0.067
1987-05-08,0.0668
1987-05-11,0.0701
1987-05-12,0.068
1987-05-13,0.0673
1987-05-14,0.0685
1987-05-15,0.0699
1987-05-18,0.0683
1987-05-19,0.0687
1987-05-20,0.0671
1987-05-21,0.0687
1987-05-22,0.0682
1987-05-26,0.0643
1987-05-27,0.0648
1987-05-28,0.0645
1987-05-29,0.0644
1987-06-01,0.0625
1987-06-02,0.0639
1987-06-03,0.0633
1987-06-04,0.0628
1987-06-05,0.0635
1987-06-08,0.064
1987-06-09,0.0636
1987-06-10,0.0625
1987-06-11,0.0635
1987-06-12,0.0633
1987-06-15,0.0656
1987-06-16,0.0645
1987-06-17,0.0657
1987-06-18,0.0645
1987-06-19,0.0647
1987-06-22,0.064
1987-06-23,0.064
1987-06-24,0.0641
1987-06-25,0.0644
1987-06-26,0.0677
1987-06-29,0.0644
1987-06-30,0.0633
1987-07-01,0.0639
1987-07-02,0.0645
1987-07-06,0.0646
1987-07-07,0.0646
1987-07-08,0.0642
1987-07-09,0.0646
1987-07-10,0.0648
1987-07-13,0.0647
1987-07-14,0.0636
1987-07-15,0.0609
1987-07-16,0.0595
1987-07-17,0.0597
1987-07-20,0.0603
1987-07-21,0.0578
1987-07-22,0.0586
1987-07-23,0.0556
1987-07-24,0.0563
1987-07-27,0.0572
1987-07-28,0.055
1987-07-29,0.0554
1987-07-30,0.0561
1987-07-31,0.0553
1987-08-03,0.0555
1987-08-04,0.0557
1987-08-05,0.0556
1987-08-06,0.0566
1987-08-07,0.0569
1987-08-10,0.0581
1987-08-11,0.0575
1987-08-12,0.0562
1987-08-13,0.0578
1987-08-14,0.0572
1987-08-17,0.0575
1987-08-18,0.0582
1987-08-19,0.0568
1987-08-20,0.0563
1987-08-21,0.0563
1987-08-24,0.0547
1987-08-25,0.0526
1987-08-26,0.0519
1987-08-27,0.0527
1987-08-28,0.0537
1987-08-31,0.0532
1987-09-01,0.055
1987-09-02,0.0555
1987-09-03,0.0546
1987-09-04,0.0537
1987-09-08,0.0549
1987-09-09,0.052
1987-09-10,0.0585
1987-09-11,0.0568
1987-09-14,0.0563
1987-09-15,0.0567
1987-09-16,0.0581
1987-09-17,0.0595
1987-09-18,0.0611
1987-09-21,0.0613
1987-09-22,0.0603
1987-09-23,0.0586
1987-09-24,0.058
1987-09-25,0.0587
1987-09-28,0.0598
1987-09-29,0.0614
1987-09-30,0.0592
1987-10-01,0.0594
1987-10-02,0.0602
1987-10-05,0.0609
1987-10-06,0.064
1987-10-07,0.0648
1987-10-08,0.0638
1987-10-09,0.0639
1987-10-12,0.0655
1987-10-13,0.0653
1987-10-14,0.0653
1987-10-15,0.0653
1987-10-16,0.0666
1987-10-19,0.0667
1987-10-20,0.0628
1987-10-21,0.0676
1987-10-22,0.0681
1987-10-23,0.07
1987-10-26,0.0697
1987-10-27,0.07
1987-10-28,0.0709
1987-10-29,0.0698
1987-10-30,0.0708
1987-11-02,0.0706
1987-11-03,0.0692
1987-11-04,0.0679
1987-11-05,0.0718
1987-11-06,0.0706
1987-11-09,0.0729
1987-11-10,0.073
1987-11-11,0.0737
1987-11-12,0.0735
