Date,Value
1986-01-02,3.505
1986-01-03,3.415
1986-01-06,3.435
1986-01-07,3.455
1986-01-08,3.43
1986-01-09,3.45
1986-01-10,3.485
1986-01-13,3.395
1986-01-14,3.395
1986-01-15,3.4
1986-01-16,3.445
1986-01-17,3.44
1986-01-20,3.42
1986-01-21,3.355
1986-01-22,3.395
1986-01-23,3.435
1986-01-24,3.355
1986-01-27,3.405
1986-01-28,3.435
1986-01-29,3.425
1986-01-30,3.475
1986-01-31,3.445
1986-02-03,3.395
1986-02-04,3.41
1986-02-05,3.39
1986-02-06,3.36
1986-02-07,3.38
1986-02-10,3.385
1986-02-11,3.465
1986-02-12,3.45
1986-02-13,3.505
1986-02-14,3.435
1986-02-18,3.51
1986-02-19,3.385
1986-02-20,3.455
1986-02-21,3.49
1986-02-24,3.52
1986-02-25,3.48
1986-02-26,3.495
1986-02-27,3.51
1986-02-28,3.48
1986-03-03,3.505
1986-03-04,3.475
1986-03-05,3.475
1986-03-06,3.535
1986-03-07,3.57
1986-03-10,3.58
1986-03-11,3.525
1986-03-12,3.545
1986-03-13,3.53
1986-03-14,3.55
1986-03-17,3.52
1986-03-18,3.575
1986-03-19,3.65
1986-03-20,3.725
1986-03-21,3.73
1986-03-24,3.69
1986-03-25,3.75
1986-03-26,3.715
1986-03-27,3.63
1986-03-31,3.6
1986-04-01,3.6
1986-04-02,3.68
1986-04-03,3.71
1986-04-04,3.77
1986-04-07,3.67
1986-04-08,3.595
1986-04-09,3.66
1986-04-10,3.595
1986-04-11,3.585
1986-04-14,3.655
1986-04-15,3.575
1986-04-16,3.6
1986-04-17,3.675
1986-04-18,3.655
1986-04-21,3.64
1986-04-22,3.62
1986-04-23,3.685
1986-04-24,3.72
1986-04-25,3.74
1986-04-28,3.495
1986-04-29,3.6
1986-04-30,2.935
1986-05-01,2.805
1986-05-02,2.68
1986-05-05,2.735
1986-05-06,2.785
1986-05-07,2.755
1986-05-08,2.895
1986-05-09,2.905
1986-05-12,2.795
1986-05-13,2.89
1986-05-14,2.845
1986-05-15,2.725
1986-05-16,2.655
1986-05-19,2.63
1986-05-20,2.6
1986-05-21,2.635
1986-05-22,2.595
1986-05-23,2.59
1986-05-27,2.57
1986-05-28,2.56
1986-05-29,2.485
1986-05-30,2.52
1986-06-02,2.565
1986-06-03,2.55
1986-06-04,2.59
1986-06-05,2.62
1986-06-06,2.625
1986-06-09,2.565
1986-06-10,2.58
1986-06-11,2.59
1986-06-12,2.55
1986-06-13,2.52
1986-06-16,2.495
1986-06-17,2.495
1986-06-18,2.51
1986-06-19,2.51
1986-06-20,2.5
1986-06-23,2.56
1986-06-24,2.6
1986-06-25,2.595
1986-06-26,2.635
1986-06-27,2.61
1986-06-30,2.555
1986-07-01,2.475
1986-07-02,2.48
1986-07-03,2.51
1986-07-07,2.49
1986-07-08,2.51
1986-07-09,2.54
1986-07-10,2.585
1986-07-11,2.62
1986-07-14,2.635
1986-07-15,2.585
1986-07-16,2.64
1986-07-17,2.605
1986-07-18,2.555
1986-07-21,2.54
1986-07-22,2.545
1986-07-23,2.575
1986-07-24,2.515
1986-07-25,2.51
1986-07-28,2.56
1986-07-29,2.6
1986-07-30,2.595
1986-07-31,2.575
1986-08-01,2.615
1986-08-04,2.63
1986-08-05,2.575
1986-08-06,2.61
1986-08-07,2.62
1986-08-08,2.58
1986-08-11,2.56
1986-08-12,2.52
1986-08-13,2.535
1986-08-14,2.565
1986-08-15,2.52
1986-08-18,2.495
1986-08-19,2.45
1986-08-20,2.4
1986-08-21,2.385
1986-08-22,2.385
1986-08-25,2.38
1986-08-26,2.345
1986-08-27,2.37
1986-08-28,2.425
1986-08-29,2.485
1986-09-02,2.465
1986-09-03,2.525
1986-09-04,2.52
1986-09-05,2.53
1986-09-08,2.48
1986-09-09,2.485
1986-09-10,2.435
1986-09-11,2.435
1986-09-12,2.465
1986-09-15,2.43
1986-09-16,2.45
1986-09-17,2.47
1986-09-18,2.4625
1986-09-19,2.49
1986-09-22,2.425
1986-09-23,2.49
1986-09-24,2.495
1986-09-25,2.495
1986-09-26,2.525
1986-09-29,2.565
1986-09-30,2.545
1986-10-01,2.6
1986-10-02,2.65
1986-10-03,2.58
1986-10-06,2.54
1986-10-07,2.565
1986-10-08,2.61
1986-10-09,2.695
1986-10-10,2.7
1986-10-13,2.715
1986-10-14,2.805
1986-10-15,2.775
1986-10-16,2.79
1986-10-17,2.835
1986-10-20,2.91
1986-10-21,2.98
1986-10-22,2.98
1986-10-23,2.97
1986-10-24,2.955
1986-10-27,3.04
1986-10-28,2.98
1986-10-29,2.93
1986-10-30,3.025
1986-10-31,2.985
1986-11-03,2.99
1986-11-04,3.005
1986-11-05,3.035
1986-11-06,2.975
1986-11-07,3.0
1986-11-10,2.94
1986-11-11,2.895
1986-11-12,2.975
1986-11-13,2.98
1986-11-14,2.98
1986-11-17,3.1075
1986-11-18,3.025
1986-11-19,3.025
1986-11-20,2.995
